ElementID,Verdict,PropID,CentroidX,CentroidY,CentroidZ,MinEdge_mm,AspectRatio,MaxAngle_deg,Action
533924,COLLAPSED_TO_LINE,22,-39113.523,1731.315,9074.177,0,92259.519,270,MANUAL_delete
533985,COLLAPSED_TO_LINE,22,-37216.86,-270.021,9074.177,0,81201.144,270,MANUAL_delete
533986,COLLAPSED_TO_LINE,22,-37189.016,-248.569,9074.177,0,81201.165,270,MANUAL_delete
533987,COLLAPSED_TO_LINE,22,-37161.171,-227.117,9074.177,0,81201.165,270,MANUAL_delete
533988,COLLAPSED_TO_LINE,22,-37161.171,227.192,9074.177,0,81201.144,270,MANUAL_delete
533989,COLLAPSED_TO_LINE,22,-37189.016,248.644,9074.177,0,81201.187,270,MANUAL_delete
533990,COLLAPSED_TO_LINE,22,-37216.86,270.096,9074.177,0,81201.187,270,MANUAL_delete
536489,COLLAPSED,24,-9508.693,-1882.08,11024.844,0,238247.948,321.102,auto_convert_TRIA3
536719,COLLAPSED,24,-9508.693,1882.155,11024.844,0,238247.98,321.102,auto_convert_TRIA3
551097,BOWTIE,17,-41890.893,-1967.08,7634.992,10.561,2.497,333.714,auto_reorder
551107,BOWTIE,17,-41928.429,-2005.556,7642.565,1.479,29.283,336.122,auto_reorder
554378,BOWTIE,17,-10583.203,2043.644,8052.428,5.751,2.863,302.826,auto_reorder
554416,BOWTIE,17,-10684.483,1986.28,8052.487,5.737,2.861,303.307,auto_reorder
555759,BOWTIE,17,-13808.488,2309.058,8066.264,2.5,16.204,360,auto_reorder
556193,COLLAPSED,17,-13822.043,2316.508,8044.269,0.007,5372.358,331.565,auto_convert_TRIA3
